종목코드,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE,배당수익률,AltmanZScore,순이익률,자본회전율,PER,PSR,PBR,배당수익률_percentile,순이익률_percentile,자본회전율_percentile,PER_percentile,PSR_percentile,PBR_percentile,ATR_percentile,TSF_SLOPE_percentile,avg_of_변동성지표_percentile,avg_of_수익성지표_percentile,avg_of_가치성지표_percentile,avg_of_모멘텀지표_percentile,변동성지표_percentile,수익성지표_percentile,가치성지표_percentile,모멘텀지표_percentile
131090,2,1025262700.0,39519092170.0,3940900785.0,502570734.0,2617160429.0,848282944.0,41600662199.0,46030649289.0,4429987090.0,0.018,46023985037.5645,-0.065,0.022276704182899128,7.476508894906758,0.32412340283019003,0.06291150887167636,54.25546436256592,17.585465731326973,1.1063281833689376,0.7118380062305296,0.9485981308411215,0.021806853582554516,0.7320872274143302,0.9454828660436138,0.616822429906542,0.05763239875389408,0.37383177570093457,0.05763239875389408,0.5607476635514018,0.7647975077881619,0.37383177570093457,0.05763239875389408,0.6129283489096573,0.8489096573208723,0.37383177570093457
131090,3,1025262700.0,40092077438.0,4265560768.0,1266606198.0,3357937221.0,1372712414.0,41719416318.0,46428185956.0,4708769638.0,0.028,45055996615.8173,0.007,0.022755299560726455,7.068328473934727,0.4087963305017369,0.08048859541573225,32.822604470026526,13.41776026485675,1.0799766773433432,0.7227414330218068,0.9672897196261683,0.04361370716510903,0.5763239875389408,0.9158878504672897,0.6105919003115264,0.2601246105919003,0.5763239875389408,0.2601246105919003,0.5778816199376947,0.7009345794392523,0.5763239875389408,0.2601246105919003,0.6542056074766355,0.7881619937694704,0.5763239875389408
133750,1,0.0,52814680028.0,21942114694.0,-3123854317.0,8690195222.0,-2699036412.0,63029459048.0,90125785069.0,27096326021.0,0.042,64369483359.7096,-0.005,0.0,2.4514476774811045,-0.31058409426374567,0.1378751357421931,-23.84906075128178,7.407138932477897,1.0212602857766733,0.0646417445482866,0.024922118380062305,0.14485981308411214,0.14330218068535824,0.8006230529595015,0.5669781931464174,0.676791277258567,0.5358255451713395,0.676791277258567,0.07814122533748702,0.5036344755970924,0.5358255451713395,0.676791277258567,0.009345794392523364,0.5124610591900312,0.5358255451713395
133750,2,0.0,51237839775.0,20102057666.0,373712684.0,10948761591.0,-2600445697.0,63112474965.0,88170266992.0,25057792027.0,0.038,51846685964.5156,-0.083,0.0,2.396151698319753,-0.23751048695202154,0.17348014948030172,-19.937615318915697,4.735392723057751,0.8214966374439916,0.0646417445482866,0.03115264797507788,0.22741433021806853,0.1526479750778816,0.6588785046728972,0.48286604361370716,0.5677570093457944,0.3076323987538941,0.5677570093457944,0.10773624091381101,0.43146417445482865,0.3076323987538941,0.5677570093457944,0.012461059190031152,0.411993769470405,0.3076323987538941
133750,3,0.0,47239974514.0,17071185600.0,535197466.0,9690405755.0,707996459.0,63758664581.0,85180190629.0,21421526048.0,0.038,46088542484.0303,-0.061,0.0,2.3714856878160693,0.07306159070116254,0.15198570764745484,65.09713699575198,4.756100379001137,0.722859281744816,0.0646417445482866,0.5529595015576324,0.17445482866043613,0.7772585669781932,0.660436137071651,0.4252336448598131,0.5677570093457944,0.397196261682243,0.5677570093457944,0.26401869158878505,0.6209761163032191,0.397196261682243,0.5677570093457944,0.0778816199376947,0.6900311526479751,0.397196261682243
136480,2,2123743640.0,360469000000.0,475738000000.0,39331810725.0,408654000000.0,17485124170.0,316117000000.0,876027000000.0,559910000000.0,0.028,330312210310.369,-0.015,0.006429503886654632,2.222678032074085,0.04278711127261693,1.2927302233033973,18.891041727750512,0.8082931044609107,1.0449049254243492,0.31931464174454827,0.4143302180685358,0.9672897196261683,0.397196261682243,0.1277258566978193,0.5887850467289719,0.2601246105919003,0.514797507788162,0.2601246105919003,0.5669781931464174,0.3712357217030114,0.514797507788162,0.2601246105919003,0.6277258566978193,0.32009345794392524,0.514797507788162
136480,3,2123743640.0,309361000000.0,433682000000.0,15209721103.0,397914000000.0,2493399925.0,318463000000.0,829362000000.0,510899000000.0,0.034,297387189479.708,-0.021,0.007141342045417568,2.0692413185033853,0.006266177930407073,1.2494826714563387,119.26975151397264,0.7473654847019909,0.9338202223797051,0.34735202492211836,0.205607476635514,0.9626168224299065,0.8660436137071651,0.11370716510903427,0.5280373831775701,0.43146417445482865,0.5023364485981309,0.43146417445482865,0.5051921079958462,0.5025960539979232,0.5023364485981309,0.43146417445482865,0.48208722741433024,0.5109034267912772,0.5023364485981309
136540,1,6267642560.0,126685945254.0,15752505819.0,1548894489.0,18450651534.0,2296119878.0,172492786122.0,191080276878.0,18587490756.0,0.029,183006916791.403,0.084,0.03424811843119599,6.941744490635533,0.12444654725437838,0.10696477196994371,79.70268388199678,9.918723816021695,1.0609540312136103,0.8598130841121495,0.7149532710280374,0.08255451713395638,0.8052959501557633,0.8644859813084113,0.5996884735202492,0.2827102803738318,0.7313084112149533,0.2827102803738318,0.5524402907580478,0.756490134994808,0.7313084112149533,0.2827102803738318,0.588006230529595,0.8426791277258567,0.7313084112149533
136540,2,6267642560.0,131936000000.0,18367089090.0,9365615388.0,30526426933.0,9871643300.0,180068000000.0,201526000000.0,21458018929.0,0.015,172054249050.208,-0.063,0.036428292789043575,6.028964383739953,0.32338024105036844,0.1695272171235311,17.42913958917134,5.636239361646748,0.9554960744651643,0.8769470404984424,0.9454828660436138,0.21339563862928349,0.37850467289719625,0.721183800623053,0.5420560747663551,0.018691588785046728,0.3878504672897196,0.018691588785046728,0.6786085150571132,0.5472481827622014,0.3878504672897196,0.018691588785046728,0.8691588785046729,0.573208722741433,0.3878504672897196
136540,3,6267642560.0,135811000000.0,17597790958.0,3705027619.0,20210753678.0,3872189134.0,183940000000.0,204527000000.0,20586006734.0,0.025,176352148848.64,0.119,0.03554049440803474,6.2158464651574326,0.1915905361913837,0.10987688201587474,45.54326835437063,8.725659203921946,0.9587430496997174,0.867601246105919,0.8364485981308412,0.08722741433021806,0.6838006230529595,0.8348909657320872,0.543613707165109,0.18146417445482865,0.7881619937694704,0.18146417445482865,0.5970924195223261,0.6874350986500519,0.7881619937694704,0.18146417445482865,0.6861370716510904,0.7741433021806854,0.7881619937694704
138070,1,1717851677.0,58456705266.0,21521452611.0,1284468046.0,14629828077.0,1126247190.0,76107715995.0,111697406982.0,35589690987.0,0.026,47608707379.5751,-0.054,0.03608272040036495,1.8693176714262911,0.07698294088435718,0.19222529392369528,42.27198771485956,3.254221931317307,0.6255437672404047,0.8722741433021807,0.5747663551401869,0.26479750778816197,0.6573208722741433,0.5358255451713395,0.35669781931464173,0.20638629283489096,0.4197819314641745,0.20638629283489096,0.5706126687435099,0.5166147455867082,0.4197819314641745,0.20638629283489096,0.6362928348909658,0.5295950155763239,0.4197819314641745
