종목코드,년도,분기,배당금지급,유동자산,유동부채,영업이익(손실),수익(매출액),당기순이익(손실),자본총계,자산총계,부채총계,ATR,MARKETCAP,TSF_SLOPE
123040,2023.0,2.0,2179166350.0,874110000000.0,839191000000.0,75771308518.0,593237000000.0,88158787004.0,567511000000.0,1670840000000.0,1103330000000.0,0.04,254316589956.539,-0.046
123410,2023.0,2.0,2227284720.0,229966000000.0,204012000000.0,4976463109.0,167180000000.0,8799665664.0,170226000000.0,425985000000.0,255760000000.0,0.042,101759106120.459,0.263
126700,2023.0,2.0,1594688280.0,310618000000.0,158681000000.0,9909079286.0,63559472898.0,13512028765.0,236590000000.0,397308000000.0,160718000000.0,0.036,313037286816.459,0.177
126720,2023.0,2.0,8571600000.0,362175000000.0,69324237582.0,12429705159.0,91348873290.0,12866343155.0,480921000000.0,603705000000.0,122784000000.0,0.035,326434972968.124,-0.036
127710,2023.0,2.0,252122259.0,248561000000.0,326953000000.0,-10156059320.0,24820121562.0,-9627480839.0,177930000000.0,660588000000.0,482658000000.0,0.021,52251438088.7292,-0.129
131090,2023.0,2.0,1025262700.0,39519092170.0,3940900785.0,502570734.0,2617160429.0,848282944.0,41600662199.0,46030649289.0,4429987090.0,0.018,46023985037.5645,-0.065
133750,2023.0,2.0,0.0,51237839775.0,20102057666.0,373712684.0,10948761591.0,-2600445697.0,63112474965.0,88170266992.0,25057792027.0,0.038,51846685964.5156,-0.083
136480,2023.0,2.0,2123743640.0,360469000000.0,475738000000.0,39331810725.0,408654000000.0,17485124170.0,316117000000.0,876027000000.0,559910000000.0,0.028,330312210310.369,-0.015
136540,2023.0,2.0,6267642560.0,131936000000.0,18367089090.0,9365615388.0,30526426933.0,9871643300.0,180068000000.0,201526000000.0,21458018929.0,0.015,172054249050.208,-0.063
138070,2023.0,2.0,1733125111.0,55509198457.0,20535990629.0,1280666322.0,15080769100.0,2171526008.0,77078784666.0,109572000000.0,32492886515.0,0.033,55310106928.3468,0.098
138080,2023.0,2.0,1955220000.0,95637462887.0,39210978639.0,-8026130528.0,9992830761.0,-9450427750.0,131330000000.0,171930000000.0,40599434006.0,0.032,167223246381.662,-0.145
138490,2023.0,2.0,6840000000.0,178578000000.0,84104143542.0,8945009899.0,116257000000.0,15047079257.0,263981000000.0,361274000000.0,97293069672.0,0.032,364039939325.339,-0.089
140070,2023.0,2.0,1743129900.0,209984000000.0,106101000000.0,591306638.0,28593835583.0,-349492816.0,188272000000.0,351248000000.0,162975000000.0,0.047,159048483560.727,0.075
140670,2023.0,2.0,0.0,50300071872.0,31296961182.0,-1571971157.0,20390630578.0,-2450961759.0,39365281123.0,74737562001.0,35372280878.0,0.036,120382616549.664,-0.168
